iter	Passed	Remaining
0	77	47787
1	87	27196
2	97	20114
3	105	1628744	109	1343055	119	1229166	128	1122777	136	1044788	144	981699	148	9085110	155	862611	160	8146
112	165	7738113	169	7354114	174	705115	182	6905
16	189	6730
17	197	6613
18	203	6441
19	210	6316
20	217	6207
21	226	6179
222	235	611323	236	5870
224	247	590525	249	5711
26	261	5758
27	278	5896
228	285	5827229	297	585530	302	5759
331	308	568332	312	5569
33	318	5491
34	323	5415
35	327	5320
36	337	5329
37	343	5266
38	349	5208
39	352	5121
40	358	5074
41	364	5021
42	372	5002
43	374	4908
44	382	4899
45	392	4909
46	405	4946
47	410	4901
48	416	4863
49	422	4826
50	427	4779
51	434	4757
52	442	4744
53	447	4702
54	458	4715
55	463	4675
56	482	4769
57	486	4721
58	501	4776
59	506	4735
60	530	4871
661	542	488962	556	4930
63	565	4925
664	573	490665	581	4893
666	594	4912667	611	4969668	619	4954669	629	4952
70	635	4924
71	645	4918
72	648	4869
73	74	662	4774	661	4815
75	667	4788
76	676	4776
77	78	692	4778	79	700	4779	80	706	4780	703	4692
81	710	4671
82	719	4661
83	84	736	4684	85	739	4685	735	4575
86	741	4551
87	747	4527
88	89	763	4589	90	769	4490	91	775	4491	92	786	4492	93	791	4493	94	801	4437
95	808	4495	96	819	4425
97	824	4398
98	834	4400
99	841	4386
100	849	4372
101	856	4358
102	860	4329
103	864	4103	104	870	4104	105	877	4105	106	887	4261
107	892	4239
108	901	4233
109	910	4229
110	913	4110	111	921	4111	112	928	4112	113	934	4113	114	940	4114	936	4122
115	116	952	4116	117	958	4117	955	4074
118	962	4059
119	120	982	4120	121	987	4121	122	995	4122	123	997	3123	124	1002	124	9125	1011125	10126	1022126	10127	1033	3980
128	1044	3982
129	1052	3977
130	1061	3969
131	1063	3938
132	1069	3925
133	1080	3927
134	1091	3929
135	1101	3926
136	1108	3917
137	1113	3897
138	1116138	11139	1124139	11140	1129140	1125	3831
141	1131	3815
142	1137	3803
143	1148	3805
144	1155	3791
145	1160	3774
146	1164	3754
147	1171	3743
148	1182	3745
149	1193	3748
150	1198	3730
151	1208	3730
152	1217	3723
153	1220	3701
154	1227	3689
155	123156	124156	123157	125157	124158	126158	1250	3634
159	125160	127160	126161	127161	127162	128162	127163	129163	1284	3578
164	1287	3559
165	1292	3541
166	1298	3528
167	1301	3510
168	1306169	13169	1312170	13170	131171	133171	132172	134172	1332	3450
173	1337	3437
174	1343	3422
175	1345	3401
176	1352	3391
177	1357	3378
178	1363	3367
179	1367	3350
180	1374	3341
181	1378	3324
182	1385	3315
183	1391	3305
184	1398	3295
185	1405	3286
186	1410	3273
187	1416	3262
188	1424	3255
189	1429	3241
190	1435	3231
191	1443	3224
192	1446	3207
193	1453	3198
194	1457195	14195	1466196	14196	1470197	14197	1477198	14198	1486199	14199	1492200	14200	1492201	15201	1502202	1509	31072203	15203	1512204	15204	1522205	1530	3083
206	1537	3074
207	1542	3062
208	1548	3051
209	1553	3040
210	1560	3031
211	15211	1564212	15212	1567213	1573	2993
214	1577	2979
215	1584	2971
216	1591	2963
217	1596	2952
218	1603	2944
219	1609	2933
220	1614	2921
221	1623	2917
222	1630	2910
223	1634	2897
224	1638	2884
225	1646	2877
226	1651	2866
227	1659	2860
228	1665	2851
229	1667	2834
230	1671	2821
231	1676	28123232	1682	28023233	1689	27923234	16234	1623235	17235	1703236	17236	1709237	17237	1717238	17238	1724239	1727	2742
240	1732	2731
241	1738	2722
242	1749	2721
243	1754	2711
244	1762	2704
245	1766	2692
246	1769	2680
247	1777	2673
248	1781	26624249	1786	2651
250	1793	2644
251	1799	26325252	1807	2629
253	1810	2616
254	1816	2607
255	1822	2598
256	1827	2587
257	18257	1825258	18258	1825259	1843	25526260	18260	182261	1869	25612262	1877	25552263	1883	2547
264	188264	182265	189265	1883	2513
266	1889	2505
267	1894	2495
268	1900	2486
269	19270270	1270	19271	1923271	19272	1931	2461
273	1939	2456
274	1945	2447
275	1949275	19276276	1947	24277277	1953	24278	1969278	19279	1976	2407
280	1983	2399
281	1988	2390
282	1992	2380
283	1998	2371
284	2005	2364
285	2011	2355
286	2018	2349
287	2024	2340
288	2028	2330
289	2036	2323
290	2041	2315
291	2048	2307
292	2053	2298
293	2058	2289
294	2063	2280
2295	2072	22752296	2076	22652297	2081	22562298	208298	20299	2088299	20300	2097	2229
301	2103	2222
302	2107	2211
303	2110303	21304	2118304	2130305	21305	2130306	21306	2130307	2126	216308	2142308	21309	2149	2156
31310	2143	21331311	2152	21331312	2158	21231313	2163	21131314	2167	21031315	2172	20931316	2176	208317	2193	2089
318	2199	2082
319	2204	2073
320	2209	2065
32321	2204	20432322	2210	20332323	2214	20332324	2221	20232325	2229	20132326	2234	20032327	2244	200328	2257	2003
329	2273	2004
33330	2271	199331	2294	1996
332	2305	1994
333	2315	1990
334	2322	1982
335	2327	1974
336	2333	1966
337	2341	1960
338	2346	1952
3339	2353	19443340	2360	19383341	236341	233342	237342	23343	2375343	23344	2381344	237345	238345	233346	239346	233347	239347	233348	240348	233349	2417	18713350	2424	18653351	2432	18583352	2438	18513353	244353	24354	2448354	24355	2456355	24356	2472356	243357	2498	18353358	2512	18333359	252359	253360	2543	18313361	255361	254362	2563	1821
363	2573	1816
364	2586	1814
365	2603	1814
366	2622	1814
367	2634	1811
368	2641	1804
369	2649	1797
370	2654	17883371	2665	17833372	2678	17803373	2694	1779
374	2706	1775
375	2751	1792
376	2780	1799
377	2792	1795
378	2803	1789
379	2812	1783
380	2818	1775
381	2831	1771
382	2840	1765
383	2849	1758
384	2854	1749
385	2861	1741
386	2865	1732
387	287387	285388	2893	1725
389	2906	1721
390	2928	1722
391	2947	1721
392	2970	1723
393	2976	1715
394	299394	296395	299395	297396	301396	2996	1690
397	3004	1683
398	3021	1681
399	3039	1679
400	3056	1676
401	3069	1672
402	3073	1662
403	3079	1654
404	3094	1650
405	3109	1646
406	3118	1639
407	3129	1633
408	3136	1625
409	3147	1619
410	3152	1610
411	3159	1602
412	3169	1596
413	3175	1587
414	3180	1578
415	3185	1569
416	3189	1560
417	3194	1551
418	3199	1542
419	3204	1533
420	3209	1524
421	3214	1515
422	3220	1507
423	3223	1497
424	3228	1488
425	3235	1481
426	3240	1472
427	3245	1463
428	3249	1454
429	3252	1444
430	3258	1436
431	3262	1427
432	3267	1418
433	3272	1409
434	3274	1400
435	3278	1391
436	3283	1382
437	3288	1373
438	3293	1365
439	3295	1355
440	3302	1347
441	3306	1338
442	3311	1330
443	3314	1321
444	3317	1312
445	3322	1303
446	3325	1294
447	3331	1286
448	3335	1277
449	3337	1268
450	3341	1259
451	3346	1251
452	3350	1242
453	3355	1234
454	3360	1225
455	3363	1217
456	3367	1208
457	3370	1199
458	3374	1191
459	3379	1182
460	3383	1174
461	3387	1165
462	3391	1157
463	3397	1149
464	3400	1140
465	3404	1132
466	3411	1124
467	3416	1116
468	3420	1108
469	3425	1100
470	3436	1094
471	3447	1088
472	3458	1082
473	3465	1074
474	3467	1065
475	3479	1060
476	3483	1051
477	3493	1045
478	3502	1038
479	3507	1030
480	3515	1023
481	3522	1015
482	3531	1008
483	3537	1001
484	3541	993
485	3547	985
486	3551	977
487	3554	968
488	3560	961
489	3565	953
490	3574	946
491	3579	938
492	3586	931
493	3592	923
494	3597	915
495	3604	908
496	3608	900
497	3614	892
498	3619	884
499	3622	876
500	3628	869
501	3636	862
502	3643	854
503	3650	847
504	3706	851
505	3710	843
506	3716	835
507	3730	829
508	3735	821
509	3740	814
510	3743	805
511	3748	797
512	3753	790
513	3759	782
514	3763	774
515	3766	766
516	3771	758
517	3775	750
518	3779	742
519	3782	734
520	3788	727
521	3791	718
522	3794	710
523	3796	702
524	3802	695
525	3806	687
526	3809	679
527	3812	671
528	3814	663
529	3817	655
530	3820	647
531	3824	639
532	3826	631
533	3828	623
534	3831	615
535	3833	607
536	3836	600
537	3841	592
538	3843	584
539	3846	577
540	3848	569
541	3851	561
542	3855	553
543	3859	546
544	3861	538
545	3864	530
546	3867	523
547	3869	515
548	3872	507
549	3875	500
550	3877	492
551	3880	485
552	3883	477
553	3886	470
554	3889	462
555	3895	455
556	3897	447
557	3900	440
558	3902	432
559	3906	425
560	3909	418
561	3913	410
562	3917	403
563	3920	396
564	3925	389
565	3927	381
566	3930	374
567	3933	367
568	3938	359
569	3941	352
570	3943	345
571	3947	338
572	3949	330
573	3953	323
574	3955	316
575	3960	309
576	3963	302
577	3969	295
578	3970	288
579	3972	280
580	3974	273
581	3976	266
582	3978	259
583	3979	252
584	3981	245
585	3983	237
586	3985	230
587	3986	223
588	3988	216
589	3990	209
590	3991	202
591	3994	195
592	3995	188
593	3997	181
594	3999	174
595	4001	167
596	4002	160
597	4005	154
598	4007	147
599	4009	140
600	4011	133
601	4013	126
602	4014	119
603	4016	113
604	4018	106
605	4020	99
606	4021	92
607	4023	86
608	4025	79
609	4027	72
610	4029	65
611	4031	59
612	4034	52
613	4036	46
614	4037	39
615	4039	32
616	4041	26
617	4042	19
618	4044	13
619	4045	6
620	4047	0
